id,city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total,area_cat,total_cat_Muito_Baixo,total_cat_Baixo,total_cat_Medio,total_cat_Alto,total_cat_Muito_Alto
1178,São Paulo,70,2,1,1,1,acept,not furnished,280,1000,138,13,1431,MÉDIO,True,False,False,False,False
8338,São Paulo,40,1,1,1,9,not acept,not furnished,440,2800,100,36,3376,PEQUENO,False,False,True,False,False
9885,São Paulo,70,2,1,1,14,acept,not furnished,576,2400,162,31,3169,MÉDIO,False,False,True,False,False
9027,São Paulo,129,3,4,3,6,acept,furnished,1650,2500,434,32,4616,GRANDE,False,False,False,True,False
6582,São Paulo,50,2,1,0,-,acept,not furnished,0,1200,42,19,1261,PEQUENO,True,False,False,False,False
8856,São Paulo,178,3,4,4,18,acept,not furnished,2650,10000,125,127,12900,GRANDE,False,False,False,False,True
5398,São Paulo,16,1,1,0,1,not acept,not furnished,0,850,30,11,891,PEQUENO,True,False,False,False,False
1298,São Paulo,71,3,2,1,2,acept,not furnished,530,2500,130,32,3192,MÉDIO,False,False,True,False,False
6572,São Paulo,40,1,1,0,8,not acept,furnished,685,1920,117,25,2747,PEQUENO,False,True,False,False,False
6154,São Paulo,190,3,4,3,1,acept,not furnished,2100,5500,525,70,8195,GRANDE,False,False,False,False,True
804,São Paulo,97,2,2,2,3,acept,not furnished,1400,2200,42,28,3670,MÉDIO,False,False,True,False,False
9014,São Paulo,300,5,5,4,-,acept,furnished,0,6500,525,98,7123,GRANDE,False,False,False,True,False
2866,São Paulo,60,2,1,0,-,acept,not furnished,0,1700,245,26,1971,MÉDIO,False,True,False,False,False
5880,São Paulo,70,2,1,1,9,acept,not furnished,767,2707,0,11,3485,MÉDIO,False,False,True,False,False
7177,São Paulo,350,4,3,4,-,acept,not furnished,1,7300,600,110,8011,GRANDE,False,False,False,False,True
4285,São Paulo,45,1,1,0,2,not acept,not furnished,0,1400,69,18,1487,PEQUENO,True,False,False,False,False
4678,São Paulo,200,3,1,2,-,acept,not furnished,0,3000,0,46,3046,GRANDE,False,False,True,False,False
9691,São Paulo,60,2,1,1,5,acept,not furnished,662,1150,120,15,1947,MÉDIO,False,True,False,False,False
8825,São Paulo,80,2,2,1,3,acept,not furnished,700,2200,0,28,2928,MÉDIO,False,False,True,False,False
8946,São Paulo,210,4,4,3,9,acept,not furnished,2100,9100,667,116,11980,GRANDE,False,False,False,False,True
7801,São Paulo,89,2,3,3,9,acept,furnished,1158,4300,244,55,5757,MÉDIO,False,False,False,True,False
894,São Paulo,35,1,1,0,-,acept,not furnished,0,1100,30,14,1144,PEQUENO,True,False,False,False,False
3094,São Paulo,280,3,4,2,-,acept,furnished,8000,8000,667,121,16790,GRANDE,False,False,False,False,True
3497,São Paulo,36,1,1,0,10,acept,furnished,345,1600,30,21,1996,PEQUENO,False,True,False,False,False
5649,São Paulo,169,4,4,4,9,acept,not furnished,1800,6450,1140,82,9472,GRANDE,False,False,False,False,True
869,São Paulo,33,1,1,0,1,not acept,not furnished,250,1305,0,17,1572,PEQUENO,True,False,False,False,False
6489,São Paulo,220,4,4,3,12,acept,not furnished,3600,5100,892,65,9657,GRANDE,False,False,False,False,True
4247,São Paulo,87,3,2,3,3,acept,not furnished,914,1300,265,17,2496,MÉDIO,False,True,False,False,False
9834,São Paulo,86,2,1,1,1,acept,not furnished,960,2372,0,10,3342,MÉDIO,False,False,True,False,False
4367,São Paulo,280,3,3,5,-,acept,not furnished,0,3500,2,53,3555,GRANDE,False,False,True,False,False
9684,São Paulo,299,3,3,3,1,acept,not furnished,2689,1942,316,25,4972,GRANDE,False,False,False,True,False
1556,São Paulo,135,3,3,2,1,acept,furnished,1650,4250,584,54,6538,GRANDE,False,False,False,True,False
7148,São Paulo,131,4,4,2,11,acept,not furnished,1400,4500,317,58,6275,GRANDE,False,False,False,True,False
497,São Paulo,200,3,4,3,6,acept,furnished,1800,5058,1200,65,8123,GRANDE,False,False,False,False,True
1641,São Paulo,210,3,4,4,11,acept,furnished,2000,15000,1000,191,18190,GRANDE,False,False,False,False,True
374,São Paulo,46,1,1,1,8,not acept,furnished,900,7600,118,97,8715,PEQUENO,False,False,False,False,True
9332,São Paulo,20,1,1,0,3,not acept,furnished,150,3142,67,40,3399,PEQUENO,False,False,True,False,False
